6	0.0388289	p	0.85132	px	0.869102	x	0.0375059
10	0.0875149	p	0.623416	px	0.696782	x	0.0839807
16	0.188743	p	0.264501	px	0.284389	x	0.184704
27	0.314036	p	0.0828578	px	0.0992136	x	0.30414
45	0.422377	p	0.0307267	px	0.02849	x	0.442804
74	0.534636	p	0.0126578	px	0.00779112	x	0.551519
122	0.647774	p	0.00635447	px	0.00428053	x	0.648333
201	0.745671	p	0.00464498	px	0.00349263	x	0.75014
333	0.816244	p	0.0040775	px	0.004459	x	0.814495
550	inf	p	0	px	0.00375111	x	0.814495
